model,real,fake,accuracy,roc_auc_score,log_loss
MesoNet,real_fulls,jerryHUST_853638,0.5775,0.6385474999999999,0.9374333025339253
MesoNet,real_fulls,zz110_853170,0.149,0.06785250000000001,2.4674676385716503
MesoNet,real_fulls,wany_853175,0.534,0.435759,1.0327972549203268
MesoNet,real_fulls,ctmiu_853213,0.393,0.3337145,1.1809970154898937
ClassNSeg,real_fulls,smartz_849705,0.6145,0.7336615,0.6599551491742518
ClassNSeg,real_fulls,joshhu_853266,0.4945,0.43057999999999996,0.8027022149058062
ClassNSeg,real_fulls,yuejiang_852934,0.544,0.6289435000000001,0.7217267763595878
ClassNSeg,real_fulls,yangquanwei_852303,0.495,0.5626490000000001,0.7635162786239179
ClassNSeg,real_fulls,miaotao_853000,0.4805,0.5015815,0.7895812410216715
ClassNSeg,real_fulls,nbhh_853436,0.4955,0.416347,0.8029809956773263
ClassNSeg,real_fulls,seanseattle_853068,0.4975,0.46705949999999996,0.7888814203119964
ClassNSeg,real_fulls,DFischerHDA_852673,0.6415,0.7391775,0.6427319123235569
ClassNSeg,real_fulls,DFGC_SYSU_852924,0.4815,0.378482,0.8206661705948457
ClassNSeg,real_fulls,fake_baseline,0.5255,0.530842,0.7580622736802404
ClassNSeg,real_fulls,zhaobh_852336,0.4955,0.5859295,0.7616293983235392
ClassNSeg,real_fulls,lowtec_853184,0.542,0.552643,0.7431551272917042
ClassNSeg,real_fulls,yZzzzzz_849853,0.5655,0.6101365000000001,0.7195824198648224
ClassNSeg,real_fulls,jerryHUST_853638,0.499,0.5219015,0.7750665128126605
ClassNSeg,real_fulls,zz110_853170,0.504,0.5124685,0.7749240688186299
ClassNSeg,real_fulls,wany_853175,0.4795,0.9521765,0.5523611905679823
ClassNSeg,real_fulls,ctmiu_853213,0.481,0.3647545,0.8234734279231273
Capsule-Forensics-v2,real_fulls,smartz_849705,0.418,0.384684,0.7574267010908504
Capsule-Forensics-v2,real_fulls,joshhu_853266,0.506,0.5381125,0.7165286445282183
Capsule-Forensics-v2,real_fulls,yuejiang_852934,0.468,0.434828,0.7342467021586649
Capsule-Forensics-v2,real_fulls,yangquanwei_852303,0.2765,0.21153200000000005,0.8223523525977942
Capsule-Forensics-v2,real_fulls,miaotao_853000,0.4105,0.3167675,0.7607363384287521
Capsule-Forensics-v2,real_fulls,nbhh_853436,0.494,0.4527765,0.7221588284416102
Capsule-Forensics-v2,real_fulls,seanseattle_853068,0.51,0.5127329999999999,0.7150289591590709
Capsule-Forensics-v2,real_fulls,DFischerHDA_852673,0.2635,0.20297550000000003,0.8287737184258287
Capsule-Forensics-v2,real_fulls,DFGC_SYSU_852924,0.463,0.40483399999999997,0.7366041975222766
Capsule-Forensics-v2,real_fulls,fake_baseline,0.4255,0.38449849999999997,0.7539616201412911
Capsule-Forensics-v2,real_fulls,zhaobh_852336,0.491,0.4861115,0.7236385975788484
Capsule-Forensics-v2,real_fulls,lowtec_853184,0.467,0.4381125,0.7345601167921252
Capsule-Forensics-v2,real_fulls,yZzzzzz_849853,0.421,0.39933349999999995,0.7562183468788755
Capsule-Forensics-v2,real_fulls,jerryHUST_853638,0.4205,0.390013,0.7559223649578511
Capsule-Forensics-v2,real_fulls,zz110_853170,0.358,0.27583599999999997,0.7851527144554832
Capsule-Forensics-v2,real_fulls,wany_853175,0.3525,0.2632825,0.7876842956038186
Capsule-Forensics-v2,real_fulls,ctmiu_853213,0.4785,0.471413,0.729463372613325
Exploiting-Visual-Artifacts/dfgc2021_gan,real_fulls,smartz_849705,0.4285,0.388419,1.0934324503557264
Exploiting-Visual-Artifacts/dfgc2021_gan,real_fulls,joshhu_853266,0.4785,0.4685415,1.0416764080206067
Exploiting-Visual-Artifacts/dfgc2021_gan,real_fulls,yuejiang_852934,0.511,0.496933,1.029391416818914
Exploiting-Visual-Artifacts/dfgc2021_gan,real_fulls,yangquanwei_852303,0.386,0.3336285,1.1250253711906235
Exploiting-Visual-Artifacts/dfgc2021_gan,real_fulls,miaotao_853000,0.4435,0.4230785,1.0676816342558828
Exploiting-Visual-Artifacts/dfgc2021_gan,real_fulls,nbhh_853436,0.482,0.47795200000000004,1.0327238671346295
